"Category","Items Sold","Gross Sales","Items Refunded","Refunds","Reportable Sales (Gross - Refund)","Discounts & Comps","Net Sales","Taxes"
"IC CONES","15015","$52,231.05","-9","-$28.39","$52,202.66","-$502.81","$51,699.85","$5,685.71"
"TOPPINGS","603","$404.73","0","$0.00","$404.73","-$1.08","$403.65","$45.46"
"Total IC & Toppings","15618","$52,635.78","-9","-$28.39","$52,607.39","-$503.89","$52,103.50","$5,731.17"
"","","","","","","","",""
"IC SUNDAE","514","$3,271.97","0","$0.00","$3,271.97","-$31.85","$3,240.12","$396.46"
"IC DRINKS","1314","$7,257.36","-1","-$5.18","$7,252.18","-$64.56","$7,187.62","$792.20"
"IC HANDPACK","157","$1,145.50","0","$0.00","$1,145.50","-$32.70","$1,112.80","$0.00"
"IC CAKE/NOVELTY","278","$7,819.15","-1","-$44.95","$7,774.20","-$267.23","$7,506.97","$0.00"
"OFF PREMISE","6","$510.00","0","$0.00","$510.00","-$34.00","$476.00","$0.00"
"ON-DEMAND","4","$910.85","0","$0.00","$910.85","$0.00","$910.85","$0.00"
"","","","","","","","",""
"Total Ice Cream Sales","","","","","$73,472.09","","",""
"","","","","","","","",""
"SOFT SERVE","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00"
"COLD BEVERAGES","0","$0.00","0","$0.00","$0.00","$0.00","$0.00","$0.00"
"HOT BEVERAGES","268","$1,195.28","0","$0.00","$1,195.28","-$3.57","$1,191.71","$130.95"
"BAKED GOODS","120","$228.00","0","$0.00","$228.00","-$0.66","$227.34","$24.99"
"","","","","","","","",""
"UNCATEGORIZED","35","$497.00","0","$0.00","$497.00","$0.00","$497.00","$0.54"
"HOUSEWARE","83","$896.09","0","$0.00","$896.09","-$4.04","$892.05","$63.38"
"IMPULSE","348","$1,054.50","0","$0.00","$1,054.50","-$11.80","$1,042.70","$73.08"
"RETAIL/GIFTS","1","$2.00","0","$0.00","$2.00","$0.00","$2.00","$0.14"
"STATIONARY","29","$23.40","0","$0.00","$23.40","$0.00","$23.40","$1.64"
"T-SHIRTS","126","$2,860.00","0","$0.00","$2,860.00","-$26.40","$2,833.60","$0.00"
"TOYS & GAMES","12","$96.00","0","$0.00","$96.00","-$6.60","$89.40","$9.83"
"Total Retail","634","$5,428.99","0","$0.00","$5,428.99","-$48.84","$5,380.15","$148.61"
"","","","","","","","",""
"PREPACKS","443","$2,349.75","-1","-$5.25","$2,344.50","-$118.62","$2,225.88","$0.00"
"","","","","","","","",""
"UNCATEGORIZED REFUNDS","0","$0.00","-5","-$50.96","-$50.96","$0.00","-$50.96","$0.00"
"Net Sales","","","","","$82,617.90","","",""
"","","","","","","","",""
"GIFT CARD","41","$680.50","0","$0.00","$680.50","$0.00","$680.50","$0.00"
"","19397","$83,433.13","-17","-$134.73","$83,298.40","-$1,105.92","$82,192.48","$7,224.38"
"","","","","","","","",""
"Total Discounts","","","","","-$1,105.92","","",""
"Total Reportable Sales","","","","","$81,511.98","","",""
